hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,booking_changes,reserved_room_type,assigned_room_type,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
Resort Hotel,0,104,2015,December,0,3,1,2,0,Undefined,IRL,Direct,TA/TO,0,0,0,C,D,No Deposit,0,Transient-Party,157.88,0,0
City Hotel,0,16,2015,January,1,2,1,0,0,BB,DEU,Direct,TA/TO,0,0,0,F,F,No Deposit,0,Transient-Party,82.07,0,1
City Hotel,0,34,2017,August,3,6,2,0,0,BB,GBR,Direct,TA/TO,0,0,2,C,D,No Deposit,0,Transient,100.57,0,0
City Hotel,0,87,2015,January,4,2,2,0,0,BB,PRT,Corporate,TA/TO,0,0,0,A,B,No Deposit,0,Transient,116.8,0,0
Resort Hotel,1,52,2017,March,1,6,1,0,0,BB,DEU,Online TA,Corporate,0,0,0,B,C,No Deposit,0,Transient,52.85,0,4
Resort Hotel,0,107,2016,September,2,7,2,0,0,BB,ITA,Corporate,TA/TO,0,0,0,E,A,No Deposit,0,Transient,102.6,0,1
Resort Hotel,0,259,2017,March,2,3,3,0,0,SC,DEU,Offline TA/TO,TA/TO,0,1,0,F,E,No Deposit,0,Transient,113.76,0,0
City Hotel,0,9,2016,February,2,6,2,0,0,BB,BRA,Online TA,Direct,0,0,3,E,F,No Deposit,0,Contract,54.44,0,0
City Hotel,0,98,2016,January,2,8,2,1,0,SC,FRA,Offline TA/TO,TA/TO,0,0,0,C,D,No Deposit,0,Transient,92.86,0,2
City Hotel,0,20,2016,December,0,6,2,0,0,BB,ITA,Online TA,Corporate,0,0,0,A,E,Non Refund,0,Transient-Party,105.77,0,0
Resort Hotel,1,42,2015,January,1,1,2,0,0,BB,BRA,Offline TA/TO,TA/TO,0,0,0,E,E,No Deposit,0,Transient,84.2,0,1
City Hotel,0,2,2015,October,2,8,1,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,1,A,C,No Deposit,0,Transient,92.53,0,2
City Hotel,0,11,2017,March,1,4,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,C,B,No Deposit,0,Transient,93.17,0,0
Resort Hotel,0,30,2016,June,1,5,1,1,0,BB,GBR,Online TA,TA/TO,1,0,0,A,C,No Deposit,0,Transient,124.93,0,1
